datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
19961115-13:00,Smoke,9,0,0,,52,,1019,0,0,19,0,0,2.5,270,West,,,3.7
19961115-16:00,Smoke,9,0,0,,59,,1019,0,0,17,0,0,2,210,SSW,,,3.7
19961115-17:00,Smoke,8,0,0,,59,,1019,0,0,16,0,0,2,230,SW,,,7.4
19961115-18:00,Smoke,8,0,0,,63,,1019,0,0,15,0,0,2.5,260,West,,,5.6
19961115-19:00,Smoke,7,0,0,,63,,1019,0,0,14,0,0,2.5,270,West,,,5.6
19961115-20:00,Smoke,7,0,0,,63,,1018,0,0,14,0,0,2.8,260,West,,,7.4
19961115-21:00,Smoke,7,0,0,,67,,1018,0,0,13,0,0,2.8,250,WSW,,,7.4
19961115-22:00,Smoke,7,0,0,,72,,1017,0,0,12,0,0,3,230,SW,,,5.6
19961115-23:00,Smoke,6,0,0,,67,,1017,0,0,12,0,0,3.5,240,WSW,,,9.3
19961116-00:00,Smoke,5,0,0,,67,,1017,0,0,11,0,0,3.5,260,West,,,13
19961116-01:00,Smoke,4,0,0,,62,,1017,0,0,11,0,0,2.2,220,SW,,,13
19961116-02:00,Smoke,4,0,0,,58,,1018,0,0,12,0,0,2.2,270,West,,,11.1
19961116-03:00,Smoke,3,0,0,,45,,1019,0,0,15,0,0,2.5,250,WSW,,,18.5
19961116-04:00,Smoke,3,0,0,,39,,1019,0,0,17,0,0,3,260,West,,,18.5
19961116-05:00,Smoke,2,0,0,,32,,1019,0,0,19,0,0,4.5,270,West,,,18.5
19961116-06:00,Unknown,15,0,0,,25,,-9999,0,0,,0,0,,0,North,,,
19961116-07:00,Clear,-1,0,0,,19,,1017,0,0,24,0,0,7,280,West,,,22.2
19961116-08:00,Clear,0,0,0,,19,,1016,0,0,25,0,0,7,300,WNW,,,22.2
19961116-09:00,Clear,1,0,0,,21,,1015,0,0,25,0,0,6,270,West,,,24.1
19961116-10:00,Haze,1,0,0,,21,,1015,0,0,25,0,0,5,270,West,,,20.4
19961116-11:00,Haze,1,0,0,,23,,-9999,0,0,23,0,0,,0,North,,,
19961116-12:00,Haze,2,0,0,,27,,-9999,0,0,22,0,0,3,270,West,,,7.4
19961116-13:00,Haze,3,0,0,,39,,-9999,0,0,17,0,0,,0,North,,,
19961116-14:00,Smoke,4,0,0,,42,,-9999,0,0,17,0,0,,0,North,,,
19961116-15:00,Smoke,2,0,0,,37,,1017,0,0,17,0,0,1.5,0,North,,,0
19961116-16:00,Smoke,2,0,0,,39,,1017,0,0,16,0,0,1.5,260,West,,,11.1
19961116-17:00,Smoke,2,0,0,,42,,-9999,0,0,15,0,0,1.5,250,WSW,,,9.3
19961116-18:00,Smoke,2,0,0,,44,,1017,0,0,14,0,0,1.5,250,WSW,,,7.4
19961116-19:00,Smoke,2,0,0,,44,,1017,0,0,14,0,0,2,0,North,,,0
19961116-21:00,Smoke,3,0,0,,58,,1016,0,0,11,0,0,2,0,North,,,0
19961116-22:00,Smoke,3,0,0,,58,,1016,0,0,11,0,0,2,0,North,,,0
19961117-00:00,Smoke,2,0,0,,58,,1016,0,0,10,0,0,2,200,SSW,,,5.6
19961117-01:00,Smoke,4,0,0,,62,,1017,0,0,11,0,0,1.5,210,SSW,,,5.6
